household_id,household_weight,household_size,number_of_vehicles,number_of_bikes,departement_id,income_class,consumption_units,commune_id,zone_fine_id
490,45.500409999999995,3,1,0,59,0,1.8,59350,00105012
491,113.9839,1,0,0,59,0,1.0,59350,00105012
492,113.9839,1,0,0,59,0,1.0,59350,00105012
493,115.1046,2,0,0,59,0,1.5,59350,00105012
494,113.9839,1,0,0,59,0,1.0,59350,00105012
495,115.1046,2,2,4,59,0,1.5,59350,00105012
496,45.500409999999995,3,0,2,59,0,1.8,59350,00105013
497,113.9839,1,1,1,59,0,1.0,59350,00105013
498,113.9839,1,0,0,59,0,1.0,59350,00105013
499,113.9839,1,1,0,59,0,1.0,59350,00105013
500,45.500409999999995,3,1,3,59,0,1.8,59350,00105013
501,113.9839,1,0,0,59,0,1.0,59350,00105014
502,113.9839,1,1,0,59,0,1.0,59350,00105014
503,113.9839,1,0,0,59,0,1.0,59350,00105014
504,115.1046,2,0,1,59,0,1.5,59350,00105014
505,113.9839,1,0,0,59,0,1.0,59350,00105014
506,113.9839,1,0,1,59,0,1.0,59350,00105014
507,115.1046,2,1,1,59,0,1.5,59350,00105014
508,113.9839,1,1,0,59,0,1.0,59350,00105014
509,113.9839,1,0,0,59,0,1.0,59350,00105014
510,45.500409999999995,3,1,2,59,0,2.0,59350,00105014
511,113.9839,1,0,0,59,0,1.0,59350,00105014
512,113.9839,1,0,0,59,0,1.0,59350,00105014
513,45.500409999999995,3,1,0,59,0,2.0,59350,00105014
514,113.9839,1,0,0,59,0,1.0,59350,00105015
515,113.9839,1,0,0,59,0,1.0,59350,00105015
516,113.9839,1,0,1,59,0,1.0,59350,00105015
517,113.9839,1,0,0,59,0,1.0,59350,00105015
518,115.1046,2,0,0,59,0,1.5,59350,00105015
519,113.9839,1,0,1,59,0,1.0,59350,00105015
520,80.84496,4,4,0,59,0,2.5,59350,00105015
521,113.9839,1,0,0,59,0,1.0,59350,00105015
