OP1;OP2;ECH;PER;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O50;O51;O52;O53;O34;O35;O36;O40A;O40B;O40C;O41A;O41B;O41C;O42A;O42B;O42C;COEO;OR1;OR2A;OR2B;OR3;OR4;OR5A;OR5B;OR5C;OR5D;O43A;O43B;O43C;OFIN
5;1018;0047;01;1;1;1;1;1;2;1;1;1;2;1;2;2;1;1;2;2;1;2;1;2;2;1;1;1;01;10;13;13;16;27;01;10;16;97.07227;2;1;0;4;;0;0;0;0;06;08;18;0
5;1018;0049;01;1;1;1;1;1;1;1;7;1;2;1;1;1;1;1;1;1;9;1;1;2;2;1;1;1;01;;;13;02;;;;;56.00916;;3;;4;;2;2;1;1;12;14;11;0
5;1018;0050;01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;3;1;1;1;2;1;22;03;06;26;03;13;04;17;;62.43557;1;1;2;4;;1;1;1;1;17;16;29;0
5;1018;0056;01;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;2;1;3;2;1;2;2;1;1;2;27;22;31;03;01;18;01;03;26;84.97316;;2;0;4;;2;1;2;2;11;07;17;0
5;1018;0065;02;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;1;1;1;1;03;06;01;35;34;23;17;;;124.8711;2;1;2;4;;0;0;0;0;23;29;21;0
5;1018;0069;01;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;2;1;9;2;1;2;2;1;1;1;01;03;24;24;03;21;03;10;27;62.43557;1;1;0;4;;0;0;0;0;29;21;27;0
5;1018;0072;01;1;1;1;1;2;1;1;4;2;2;1;1;1;1;1;1;1;6;2;1;2;2;1;1;2;22;03;36;03;22;14;03;11;02;46.63153;2;1;2;3;2;2;1;2;2;21;11;02;0
5;1018;0077;02;1;1;1;1;1;1;1;7;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;10;06;22;01;10;26;01;25;02;124.8711;1;3;;4;;2;2;2;1;17;10;21;0
5;1018;0088;01;1;1;1;1;1;1;1;4;1;2;2;1;3;1;1;1;1;9;1;1;2;1;1;2;2;03;01;18;22;35;25;02;17;01;31.66463;1;1;0;2;2;2;2;2;2;02;17;11;0
5;1018;0090;02;1;1;1;1;1;1;1;4;1;2;1;2;2;1;1;1;1;8;1;1;2;1;1;1;2;24;03;18;27;10;04;17;07;03;124.8711;1;3;;4;;0;0;0;0;17;21;11;0
5;1018;0094;01;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;4;2;1;2;2;1;3;1;24;36;07;04;15;37;25;17;;62.43557;2;1;0;1;2;2;2;2;1;21;17;05;0
5;1018;0099;01;3;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;6;1;1;2;2;1;1;2;03;32;24;03;13;11;01;11;04;62.43557;1;3;;4;;0;0;0;0;03;12;16;0
5;1018;0102;01;1;1;1;1;2;1;1;1;2;2;3;3;3;1;1;1;1;9;1;2;2;2;1;2;2;13;24;22;35;34;38;;;;62.43557;3;1;0;4;;0;0;0;0;29;18;;0
5;1018;0109;01;1;1;1;1;1;1;1;4;1;2;1;2;2;1;1;1;1;6;1;1;2;2;1;2;1;03;24;;03;16;10;17;04;27;62.43557;1;1;0;4;;0;0;0;0;09;11;13;0
5;1018;0117;01;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;2;1;2;2;06;36;24;34;01;35;04;03;25;187.3067;1;1;0;4;;2;1;2;1;29;11;26;0
5;1018;0128;01;1;1;1;1;1;1;1;6;1;2;1;2;2;1;1;1;1;7;2;2;2;2;1;1;1;07;22;27;10;04;18;04;17;02;62.43557;3;1;0;4;;1;2;1;2;17;15;11;0
5;1018;0129;01;1;1;1;2;1;1;1;6;1;1;1;2;2;1;1;1;1;9;1;2;2;1;1;2;1;03;07;;03;27;;15;;;46.63153;2;3;;4;;2;1;2;1;15;03;21;0
5;1018;0134;02;1;1;1;1;1;1;1;1;1;2;2;2;3;1;1;1;1;8;2;1;2;2;1;1;2;07;22;03;03;02;38;07;02;38;97.07227;1;1;2;2;1;2;1;2;2;04;17;02;0
5;1018;0138;01;1;1;1;1;1;2;1;2;1;2;2;2;2;1;1;1;1;8;1;2;2;2;2;1;2;22;27;06;10;02;21;26;02;33;62.43557;2;1;0;4;;0;0;0;0;11;33;21;0
5;1018;0139;01;1;1;1;1;1;1;1;7;1;2;1;1;1;1;1;1;1;6;1;1;2;2;1;1;1;24;03;22;28;03;07;04;17;15;62.43557;1;1;0;4;;0;0;0;0;17;21;04;0
5;1018;0151;01;1;1;1;1;1;1;1;7;2;1;1;1;2;1;1;2;1;9;2;1;2;2;1;1;1;24;36;18;03;01;18;23;27;33;62.43557;2;1;0;4;;0;0;0;0;11;03;04;0
