DP1;DP2;ECH;PER;NDEP;D2A;D2B;D3;D4;D5A;D5B;D6;D7;D8;D8C;D9;D11;D12;MOD;MODP;MOIP;DOIB;DIST;DISP;DFIN;D11;;
3;1010;0066;01;06;13;;1248;2040;01;;;1010;2110;0030;2;;;33;33;22;7133;11892;11892;0;5;;1
3;1010;0079;01;01;01;;1010;1000;32;;;1011;1015;0015;0;;;01;01;01;870;1000;1000;0;5;;2
3;1010;0079;01;02;32;;1011;1115;01;;;1010;1130;0015;0;;;01;01;01;870;1000;1000;0;5;;1
3;1010;0079;01;03;01;;1010;1500;33;;;1010;1505;0005;0;;;01;01;01;290;333;333;0;5;;4
3;1010;0079;01;04;33;;1010;1510;54;;;1020;1535;0025;0;;;01;01;01;1449;1667;1667;0;5;;4
3;1010;0079;01;05;54;;1020;1630;33;;;1010;1640;0010;0;;;01;01;01;580;667;667;0;5;;4
3;1010;0079;01;06;33;;1010;1645;01;;;1010;1655;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0101;01;01;01;;1010;1000;52;;;1010;1015;0015;0;;;01;01;01;870;1000;1000;0;5;;2
3;1010;0101;01;02;52;;1010;1015;01;;;1010;1030;0015;0;;;01;01;01;870;1000;1000;0;5;;1
3;1010;0131;01;01;01;;1010;0830;11;;;1050;0840;0010;0;;;01;01;01;580;667;667;0;6;;1
3;1010;0131;01;02;11;;1050;1230;01;;;1010;1240;0010;0;;;01;01;01;580;667;667;0;7;;1
3;1010;0131;01;03;01;;1010;1400;11;;;1050;1410;0010;0;;;01;01;01;580;667;667;0;6;;1
3;1010;0131;01;04;11;;1050;1730;13;;;1050;1733;0003;0;;;01;01;01;174;200;200;0;2;;2
3;1010;0131;01;05;13;;1050;1900;01;;;1010;1913;0013;0;;;01;01;01;754;867;867;0;2;;2
3;1010;0131;01;06;01;;1010;1925;51;;;1060;1930;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0131;01;07;51;;1060;2050;01;;;1010;2055;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0131;02;01;01;;1010;0800;33;;;1010;0803;0003;0;;;01;01;01;174;200;200;0;5;;2
3;1010;0131;02;02;33;;1010;0805;01;;;1010;0808;0003;0;;;01;01;01;174;200;200;0;5;;1
3;1010;0131;02;03;01;;1010;0830;11;;;1050;0840;0010;0;;;01;01;01;580;667;667;0;6;;1
3;1010;0131;02;04;11;;1050;0945;13;;;9750;1145;0120;2;;;51;51;51;207280;310921;20256;0;2;;6
3;1010;0131;02;05;13;;9750;1300;53;;;9750;1310;0010;0;;;01;01;01;580;667;0;0;2;;6
3;1010;0131;02;06;53;;9750;1430;13;;;9750;1500;0030;0;;;01;01;01;1739;2000;0;0;2;;6
3;1010;0131;02;07;13;;9750;1545;52;;;9750;1745;0120;0;;;01;01;01;6957;8000;0;0;2;;6
3;1010;0131;02;08;52;;9750;1745;51;;;1060;1945;0120;1;;;51;51;51;201881;302822;20986;0;2;;6
3;1010;0131;02;09;51;;1060;2005;01;;;1010;2015;0010;0;;;01;01;01;580;667;667;0;2;;6
3;1010;0131;03;01;01;;1010;0825;43;;;1010;0840;0015;0;;;01;01;01;870;1000;1000;0;5;;2
3;1010;0131;03;02;43;;1010;1210;01;;;1010;1225;0015;0;;;01;01;01;870;1000;1000;0;5;;1
3;1010;0131;03;03;01;;1010;1300;43;;;1010;1315;0015;0;;;01;01;01;870;1000;1000;0;5;;4
3;1010;0131;03;04;43;;1010;1630;32;;;1011;1635;0005;0;;;01;01;01;290;333;333;0;5;;4
