MP2,ECH,ANNE,M5,M14,M20,M21,COEM,ML2B,ML24,menage_id_constr,household_id
1030,0086,20160119,0,0,0,,110.3007,1.0,4,10300086,255
1030,0093,20160107,1,0,0,,161.6591,2.0,4,10300093,256
1030,0106,20160126,0,0,0,,161.6591,,3,10300106,257
1030,0142,20160323,1,0,0,,110.3007,1.0,3,10300142,258
1030,0153,20160323,0,0,0,,161.6591,1.0,3,10300153,259
1030,0010,20151208,1,0,1,0.0,161.6591,1.0,3,10300010,260
1030,0115,20160203,0,0,0,,110.3007,1.0,3,10300115,261
1030,0003,20151210,0,0,2,0.0,82.15898,1.0,4,10300003,262
1030,0015,20151205,1,0,0,,161.6591,1.0,3,10300015,263
1030,0019,20160126,0,0,0,,161.6591,1.0,4,10300019,264
1030,0061,20160115,0,0,1,0.0,110.3007,3.0,3,10300061,265
1030,0111,20160126,1,0,0,,70.78718,,3,10300111,266
1030,0138,20160322,0,0,0,,161.6591,2.0,3,10300138,267
1030,0041,20151202,1,0,0,,110.3007,1.0,4,10300041,268
1030,0057,20151210,0,0,0,,161.6591,,3,10300057,269
1030,0064,20160123,1,0,1,0.0,161.6591,1.0,3,10300064,270
1030,0099,20160115,1,0,0,,161.6591,2.0,3,10300099,271
1030,0105,20160119,0,0,0,,161.6591,1.0,3,10300105,272
1030,0109,20160123,1,0,0,,161.6591,1.0,3,10300109,273
1030,0119,20160126,1,0,0,,82.15898,1.0,3,10300119,274
1030,0127,20160312,2,0,0,,110.3007,,3,10300127,275
1030,0022,20160123,2,0,5,0.0,70.78718,1.0,2,10300022,276
1030,0025,20160115,0,0,0,,166.4,1.0,3,10300025,277
1030,0037,20160107,0,0,0,,166.4,1.0,3,10300037,278
1030,0044,20151208,0,0,0,,161.6591,1.0,3,10300044,279
1030,0052,20151211,0,0,0,,161.6591,2.0,4,10300052,280
1030,0071,20160305,1,0,1,0.0,110.3007,2.0,3,10300071,281
1030,0077,20160107,0,0,0,,166.4,1.0,3,10300077,282
1030,0083,20151219,1,0,0,,70.78718,,3,10300083,283
1030,0104,20160114,1,0,0,,110.3007,1.0,2,10300104,284
1030,0120,20160226,3,0,4,0.0,163.92,1.0,3,10300120,285
1030,0139,20160305,1,0,1,0.0,110.3007,1.0,3,10300139,286
1030,0144,20160301,2,0,1,0.0,110.3007,1.0,2,10300144,287
1030,0149,20160308,0,0,2,0.0,82.15898,1.0,3,10300149,288
1030,0007,20160113,0,0,0,,161.6591,2.0,3,10300007,289
1030,0108,20160317,1,0,0,,161.6591,1.0,3,10300108,290
1030,0002,20151212,1,0,2,0.0,70.78718,2.0,3,10300002,291
1030,0006,20160317,0,0,0,,161.6591,1.0,3,10300006,292
1030,0016,20160324,1,0,0,,110.3007,1.0,3,10300016,293
1030,0056,20160115,0,0,0,,163.92,3.0,3,10300056,294
1030,0068,20160324,1,0,0,,161.6591,2.0,3,10300068,295
1030,0078,20151216,0,0,1,0.0,161.6591,1.0,4,10300078,296
1030,0101,20160120,1,0,0,,161.6591,1.0,3,10300101,297
1030,0125,20160318,0,0,0,,110.3007,1.0,4,10300125,298
1030,0431,20151204,1,0,0,,110.3007,,2,10300431,299
1030,0653,20160324,0,0,0,,161.6591,1.0,3,10300653,300
1030,0048,20151209,1,0,1,0.0,161.6591,,3,10300048,301
1030,0059,20151209,0,0,0,,166.4,1.0,3,10300059,302
1030,0124,20160305,0,0,0,,166.4,2.0,3,10300124,303
1030,0145,20160331,0,0,0,,70.78718,,3,10300145,304
1030,0029,20160116,1,0,3,0.0,163.92,,3,10300029,305
1030,0031,20151202,0,0,0,,161.6591,1.0,3,10300031,306
1030,0053,20151219,0,0,1,0.0,110.3007,1.0,3,10300053,307
1030,0060,20160112,1,0,1,0.0,110.3007,2.0,4,10300060,308
1030,0531,20160109,0,0,0,,110.3007,2.0,3,10300531,309
1030,0067,20160113,0,0,0,,110.3007,1.0,3,10300067,310
1030,0128,20160305,0,0,1,0.0,110.3007,2.0,3,10300128,311
1030,0150,20160330,0,0,0,,161.6591,1.0,3,10300150,312
1030,0030,20160226,0,0,0,,161.6591,2.0,4,10300030,313
1030,0081,20160126,0,0,0,,161.6591,1.0,3,10300081,314
1030,0084,20160120,0,0,0,,161.6591,2.0,4,10300084,315
1030,0087,20160203,0,0,1,0.0,161.6591,1.0,3,10300087,316
1030,0091,20160202,0,0,0,,161.6591,2.0,3,10300091,317
1030,0092,20160204,0,0,1,0.0,161.6591,2.0,3,10300092,318
1030,0021,20151211,0,0,0,,161.6591,1.0,3,10300021,319
1030,0023,20151211,0,0,1,0.0,82.15898,2.0,3,10300023,320
1030,0034,20151204,1,0,0,,161.6591,1.0,3,10300034,321
1030,0062,20160324,0,0,0,,82.15898,1.0,3,10300062,322
1030,0089,20160325,0,0,1,0.0,161.6591,1.0,3,10300089,323
1030,0129,20160203,1,0,0,,110.3007,2.0,3,10300129,324
1030,0130,20160324,1,0,0,,161.6591,2.0,3,10300130,325
1030,0046,20160323,0,0,0,,161.6591,1.0,3,10300046,326
1030,0114,20160129,1,0,2,0.0,110.3007,2.0,1,10300114,327
1040,0078,20160112,1,0,0,,102.9592,,1,10400078,328
1040,0129,20160224,0,0,0,,105.3023,1.0,3,10400129,329
1040,0146,20160303,0,0,1,0.0,105.3023,1.0,3,10400146,330
1040,0166,20160303,2,0,4,0.0,156.367,1.0,3,10400166,331
1040,0172,20160309,2,0,1,0.0,161.5334,1.0,3,10400172,332
1040,0010,20160309,1,0,0,,105.3023,1.0,3,10400010,333
1040,0027,20151204,0,0,2,0.0,102.9592,1.0,3,10400027,334
1040,0029,20151202,0,0,0,,105.3023,1.0,4,10400029,335
1040,0040,20151219,2,0,1,0.0,102.9592,,3,10400040,336
1040,0049,20160303,1,0,0,,102.9592,1.0,3,10400049,337
1040,0052,20160112,1,0,0,,105.3023,,3,10400052,338
1040,0072,20160319,1,0,1,0.0,105.3023,2.0,3,10400072,339
1040,0073,20151217,1,0,1,0.0,105.3023,2.0,4,10400073,340
1040,0074,20160112,2,0,1,0.0,102.9592,1.0,3,10400074,341
1040,0082,20160112,1,0,3,0.0,156.367,1.0,3,10400082,342
1040,0088,20160304,1,1,0,,105.3023,1.0,4,10400088,343
1040,0092,20160322,1,0,0,,105.3023,1.0,3,10400092,344
1040,0111,20160202,0,0,0,,105.3023,2.0,3,10400111,345
1040,0118,20160205,0,0,0,,105.3023,1.0,3,10400118,346
1040,0157,20160309,1,0,0,,105.3023,2.0,3,10400157,347
1040,0164,20160304,1,0,0,,105.3023,1.0,3,10400164,348
1040,0177,20160312,1,0,0,,105.3023,,3,10400177,349
1040,0015,20151217,0,0,1,0.0,105.3023,1.0,3,10400015,350
1040,0025,20151216,0,0,1,0.0,105.3023,2.0,4,10400025,351
1040,0030,20151211,1,0,0,,105.3023,1.0,3,10400030,352
1040,0039,20151215,2,0,0,,102.9592,1.0,4,10400039,353
1040,0045,20160305,1,0,0,,105.3023,1.0,3,10400045,354
1040,0058,20160309,1,0,1,0.0,105.3023,1.0,3,10400058,355
1040,0061,20160119,0,0,0,,105.3023,1.0,3,10400061,356
1040,0070,20160203,0,0,0,,105.3023,2.0,3,10400070,357
1040,0112,20160128,0,0,0,,105.3023,,4,10400112,358
1040,0160,20160315,1,0,2,0.0,93.68413000000001,2.0,4,10400160,359
1040,0165,20160304,2,0,5,0.0,93.68413000000001,,3,10400165,360
1040,0167,20160311,1,0,1,0.0,102.9592,2.0,3,10400167,361
1040,0168,20160305,1,0,1,0.0,105.3023,1.0,3,10400168,362
1040,0173,20160303,2,0,1,0.0,102.9592,1.0,3,10400173,363
1040,0175,20160315,1,0,0,,105.3023,1.0,3,10400175,364
1040,0187,20160302,1,0,0,,105.3023,1.0,4,10400187,365
1040,0109,20160224,0,0,2,0.0,105.3023,1.0,3,10400109,366
1040,0113,20160316,0,0,0,,161.5334,1.0,2,10400113,367
1040,0128,20160309,0,0,0,,105.3023,1.0,3,10400128,368
1040,0130,20160308,1,0,0,,102.9592,1.0,3,10400130,369
1040,0163,20160312,1,0,1,0.0,105.3023,2.0,3,10400163,370
1040,0071,20160316,0,0,2,0.0,156.367,3.0,3,10400071,371
1040,0115,20160316,1,0,0,,105.3023,2.0,3,10400115,372
1040,0171,20160316,0,0,1,0.0,156.367,1.0,3,10400171,373
1040,0009,20160122,0,0,0,,102.9592,1.0,3,10400009,374
1040,0108,20160330,2,0,5,0.0,93.68413000000001,1.0,3,10400108,375
1040,0179,20160312,0,0,0,,105.3023,1.0,3,10400179,376
1040,0008,20151205,1,0,1,0.0,105.3023,,3,10400008,377
1040,0018,20151204,0,0,0,,105.3023,1.0,3,10400018,378
1040,0044,20160121,2,0,1,0.0,102.9592,2.0,3,10400044,379
1040,0046,20151209,0,0,0,,105.3023,,4,10400046,380
1040,0075,20160107,0,0,0,,102.9592,1.0,3,10400075,381
1040,0076,20160304,0,0,0,,105.3023,1.0,4,10400076,382
1040,0080,20160115,2,0,3,0.0,93.68413000000001,1.0,3,10400080,383
1040,0093,20160202,1,0,3,0.0,102.9592,2.0,4,10400093,384
1040,0099,20160304,1,0,0,,102.9592,1.0,3,10400099,385
1040,0119,20160128,0,0,0,,105.3023,1.0,4,10400119,386
1040,0122,20160224,1,0,0,,105.3023,1.0,3,10400122,387
1040,0123,20160302,0,0,0,,102.9592,1.0,3,10400123,388
1040,0137,20160224,1,1,0,,105.3023,,3,10400137,389
1040,0138,20160309,2,0,2,0.0,161.5334,1.0,3,10400138,390
1040,0006,20151215,1,0,0,,102.9592,1.0,3,10400006,391
