MP1;MP2;ECH;ANNE;M1;M2;M3;M3A;M3D;M5;M6A;M7A1;M13A;M14A;M7A;M8A;M9A;M6B;M7B1;M13B;M14B;M7B;M8B;M9B;M6C;M7C1;M13C;M14C;M7C;M8C;M9C;M6D;M7D1;M13D;M14D;M7D;M8D;M9D;M14;M15A;M16A;M20A;M17A;M18A;M19A;M15B;M16B;M20B;M17B;M18B;M19B;M15C;M16C;M20C;M17C;M18C;M19C;M15D;M16D;M20D;M17D;M18D;M19D;M20;M21;M22;COEM;ML2A;ML2B;ML2C;M22B;M22C;ML24;MP3;MFIN
1;1010;0133;20160225;3;3;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;1;60594;;;3;3;0
1;1010;0137;20160316;3;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2014;1;67482;;;3;2;0
1;1010;0142;20160312;4;3;2;;1;1;1;1;2009;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;13001;;;3;5;0
1;1010;0146;20160309;4;3;1;4;1;1;2;3;2006;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2008;1;62767;;;3;2;0
1;1010;0155;20160317;4;3;1;4;1;1;1;1;2015;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2011;2;59350;;;3;3;0
1;1010;0158;20160324;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;1;50030;;;3;3;0
1;1010;0164;20160331;4;3;1;4;1;1;1;3;2007;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2009;1;59350;;;3;3;0
1;1010;0028;20151216;3;3;1;4;1;1;1;1;2002;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2015;1;59350;;;3;2;0
1;1010;0123;20160308;3;3;1;4;1;1;1;1;2012;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;75056;;;3;1;0
1;1010;0569;20160113;4;2;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2014;1;59350;;;4;2;0
1;1010;0592;20160205;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2009;1;59343;;;4;4;0
1;1010;0595;20160226;4;3;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;36.55035;2002;;;;;4;4;0
